Classification Name,Classification Code,Time,Time Code,Country Name,Country Code, ,1000000:GROSS DOMESTIC PRODUCT [1000000],9100000:HOUSEHOLDS AND NPISHS FINAL CONSUMPTION EXPENDITURE [9100000],9020000:ACTUAL INDIVIDUAL CONSUMPTION [9020000],1101000:FOOD AND NON-ALCOHOLIC BEVERAGES [1101000],1101100:FOOD [1101100],1101110:Bread and cereals [1101110],1101120:Meat [1101120],1101130:Fish and seafood [1101130],"1101140:Milk, cheese and eggs [1101140]",1101150:Oils and fats [1101150],1101160:Fruit [1101160],1101170:Vegetables [1101170],"1101180:Sugar, jam, honey, chocolate and confectionery [1101180]",1101190:Food products n.e.c. (Class) [1101190],1101200:NON-ALCOHOLIC BEVERAGES [1101200],"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS [1102000]",1102100:ALCOHOLIC BEVERAGES [1102100],1102200:TOBACCO [1102200],1103000:CLOTHING AND FOOTWEAR [1103000],"9060000:ACTUAL HOUSING, WATER, ELECTRICITY, GAS AND OTHER FUELS [9060000]","1105000:FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE [1105000]",9080000:ACTUAL HEALTH [9080000],1107000:TRANSPORT [1107000],1107100:PURCHASE OF VEHICLES [1107100],1107300:TRANSPORT SERVICES [1107300],1108000:COMMUNICATION [1108000],9110000:ACTUAL RECREATION AND CULTURE [9110000],9120000:ACTUAL EDUCATION [9120000],1111000:RESTAURANTS AND HOTELS [1111000],9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES [9140000],1113000:NET PURCHASES ABROAD [1113000],9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING [9260000],9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE [9270000],1300000:INDIVIDUAL CONSUMPTION EXPENDITURE BY GOVERNMENT [1300000],1400000:COLLECTIVE CONSUMPTION EXPENDITURE BY GOVERNMENT [1400000],1500000:GROSS CAPITAL FORMATION [1500000],1501000:GROSS FIXED CAPITAL FORMATION [1501000],1501100:MACHINERY AND EQUIPMENT [1501100],1501200:CONSTRUCTION [1501200],1501300:OTHER PRODUCTS [1501300],1502000:CHANGES IN INVENTORIES [1502000],1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category) [1503000],1600000:BALANCE OF EXPORTS AND IMPORTS [1600000],9250000:DOMESTIC ABSORPTION [9250000],SP.EXCHG.RATE.ICP:Exchange Rate Value [SP.EXCHG.RATE.ICP],SP.POP.TOTL.ICP:Population [SP.POP.TOTL.ICP],SP.POP.TOTL.ICP.ZS:Population shares (World=100) [SP.POP.TOTL.ICP.ZS]
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,"Taiwan, China",TWN,,15.73,16.598,15.553,30.301,30.524,29.686,27.406,24.825,36.276,37.328,28.983,30.904,30.08,27.695,27.28,23.29,35.28,13.543,14.87,13.366,23.72,7.903,23.502,34.541,19.016,9.614,15.217,9.763,13.353,15.792,30.503,17.293,11.491,9.263,13.633,18.237,18.199,39.955,9.566,29.835,24.602,30.488,30.662,16,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Thailand,THA,,12.845,13.287,12.349,21.846,21.765,20.314,18.535,15.889,30.997,36.621,25.005,18.883,25.215,18.755,22.744,26.533,40.973,17.199,12.243,7.286,19.54,8.185,22.41,40.561,11.263,12.9,15.162,5.378,10.737,13.522,34.007,15.06,9.27,6.836,11.582,14.637,14.544,38.706,5.962,29.225,21.147,33.99,34.185,12.801,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Vietnam,VNM,,7395.338,7807.612,7075.976,13261.131,13241.058,12207.81,12248.65,10723.359,19647.527,23809.498,13018.202,10833.113,16899.875,12985.409,13870.729,8245.31,19638.318,3302.517,8043.565,6220.074,11465.052,3915.885,14791.741,25966.877,9794.432,4561.568,7678.792,2296.699,6131.708,7048.564,22414.438,8301.11,4078.183,2984.362,5090.175,9346.037,9313.698,24710.32,3927.28,18750.396,12592.299,22403.232,22531.586,7390.658,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Europe & Central Asia (ICP),ECB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Albania,ALB,,41.231,50.357,42.215,79.315,78.167,72.745,78.489,89.761,94.023,110.044,71.965,51.223,103.869,101.848,94.93,62.151,90.789,43.041,93.666,34.854,84.971,15.991,102.79,97.7,58.554,63.842,57.083,7.385,47.219,41.404,119.044,54.825,17.086,11.463,24.07,49.174,49.444,113.37,26.359,78.174,76.481,119.044,119.044,41.98,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Armenia,ARM,,155.971,167.312,145.175,298.606,296.672,246.57,334.097,264.549,397.804,392.018,327.482,233.761,368.075,393.451,335.587,143.805,220.067,72.998,343.783,77.624,336.821,89.375,280.252,268.542,102.76,92.67,259.44,24.971,258.356,137.473,483.078,201.361,67.503,50.091,85.65,385.778,288.252,485.429,181.682,393.086,377.012,483.078,483.078,158.817,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Austria,AUT,,0.77,0.831,0.813,1.02,1.037,1.096,1.263,1.158,0.843,1.02,0.998,0.927,0.92,0.912,0.851,0.732,0.723,0.728,0.878,0.781,0.957,0.675,1.153,0.942,1.183,0.421,0.949,0.668,0.921,0.803,0.887,0.873,0.717,0.621,0.751,0.678,0.684,0.937,0.511,0.767,0.799,0.887,0.887,0.775,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Azerbaijan,AZE,,0.505,0.487,0.422,0.774,0.766,0.758,0.801,0.821,1.1,1.263,0.738,0.546,1.093,1.107,0.91,0.459,0.66,0.324,0.965,0.227,1.024,0.256,0.824,0.769,0.361,0.244,0.749,0.086,0.799,0.458,1.727,0.553,0.215,0.154,0.282,1.295,0.927,1.717,0.546,1.328,1.088,1.727,1.727,0.491,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Belarus,BLR,,0.609,0.617,0.524,1.029,1.012,0.952,1.02,0.971,1.157,1.428,1.176,0.73,1.466,1.181,1.233,0.58,0.873,0.324,1.203,0.296,1.263,0.289,1.044,0.937,0.374,0.286,0.927,0.121,1.004,0.617,1.933,0.705,0.269,0.197,0.35,1.445,1.054,1.822,0.639,1.475,1.321,1.933,1.933,0.602,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Belgium,BEL,,0.773,0.845,0.814,0.922,0.924,0.92,1.092,0.96,0.864,0.902,0.951,0.704,0.82,0.927,0.865,0.803,0.754,0.835,0.882,0.88,0.934,0.633,1.132,0.968,1.089,0.72,0.878,0.584,1.034,0.797,0.887,0.861,0.724,0.572,0.874,0.637,0.641,0.906,0.466,0.725,0.786,0.887,0.887,0.776,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Bosnia and Herzegovina,BIH,,0.676,0.782,0.69,1.227,1.215,1.132,1.161,1.273,1.266,1.292,1.218,1.079,1.448,1.397,1.288,0.823,1.023,0.707,1.845,0.389,1.098,0.462,1.408,1.511,1.38,0.8,0.976,0.189,0.935,0.744,1.736,0.912,0.401,0.31,0.49,0.779,0.783,1.764,0.363,1.101,1.153,1.736,1.736,0.686,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Bulgaria,BGR,,0.674,0.735,0.639,1.21,1.187,0.954,1.075,1.242,1.473,1.752,1.077,1.015,1.448,1.387,1.408,0.884,1.029,0.797,1.28,0.493,1.092,0.309,1.402,1.545,0.944,0.634,0.951,0.207,0.762,0.682,1.736,0.833,0.356,0.258,0.468,0.805,0.804,1.607,0.419,1.101,1.133,1.736,1.736,0.654,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Croatia,HRV,,3.327,3.815,3.404,5.903,5.83,6.184,5.529,6.137,5.703,6.222,5.358,5.26,6.601,6.65,6.243,4.455,5.393,3.821,5.984,2.4,5.42,2.138,6.76,6.439,6.603,3.369,4.55,1.294,4.783,3.611,6.623,4.351,2.095,1.67,2.478,3.252,3.231,6.316,1.747,4.374,5.093,6.623,6.623,3.28,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Cyprus,CYP,,0.615,0.668,0.647,0.902,0.906,1.023,0.81,0.901,1.115,0.932,0.756,0.676,1.033,0.986,0.824,0.736,0.794,0.705,0.837,0.5,0.781,0.542,0.938,0.808,0.992,0.441,0.748,0.52,0.799,0.651,0.887,0.732,0.574,0.511,0.592,0.521,0.525,0.885,0.316,0.681,0.751,0.887,0.887,0.612,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Czech Republic,CZE,,12.378,13.651,11.915,17.757,17.656,16.607,16.871,21.156,18.192,22.21,16.939,15.656,20.026,18.402,17.975,14.782,14.87,14.757,21.667,12.295,18.898,6.041,20.607,19.696,14.499,12.933,15.075,5.482,13.783,11.935,23.362,14.536,7.554,5.519,10.057,13.26,13.319,22.979,7.85,17.123,16.966,23.362,23.362,12.156,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Denmark,DNK,,6.852,7.891,7.478,8.011,8.04,9.31,7.868,8.505,6.86,6.938,6.539,6.917,11.103,8.488,7.595,6.651,6.561,6.558,8.655,8.822,7.923,5.422,10.342,9.861,10.054,3.732,9.055,4.751,9.783,7.525,6.601,7.851,6.067,4.874,7.088,5.799,5.847,7.687,4.764,5.836,6.834,6.601,6.601,7.034,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Estonia,EST,,0.534,0.596,0.539,0.766,0.763,0.755,0.721,0.841,0.799,0.917,0.749,0.69,0.821,0.751,0.773,0.693,0.835,0.553,0.912,0.472,0.782,0.354,0.866,0.79,0.667,0.324,0.715,0.235,0.74,0.563,0.887,0.642,0.35,0.289,0.397,0.547,0.55,0.865,0.355,0.691,0.705,0.887,0.887,0.528,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Finland,FIN,,0.863,0.933,0.888,0.969,0.967,1.036,1.046,0.977,0.903,0.769,0.947,0.959,0.892,0.949,0.946,1.086,1.259,0.923,1.02,1.011,0.98,0.74,1.226,1.022,1.255,0.402,1.017,0.463,1.113,0.935,0.887,0.922,0.707,0.595,0.772,0.839,0.849,0.979,0.688,0.887,0.86,0.887,0.887,0.868,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,France,FRA,,0.766,0.835,0.774,0.931,0.945,0.901,1.13,0.999,0.784,0.874,1.056,0.847,0.873,0.897,0.765,0.848,0.675,1.072,0.916,0.879,0.943,0.541,1.138,0.965,1.103,0.48,0.898,0.406,1.02,0.766,0.887,0.844,0.624,0.464,0.823,0.718,0.725,0.927,0.546,0.808,0.808,0.887,0.887,0.767,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Georgia,GEO,,0.805,0.925,0.81,1.622,1.604,1.296,1.505,2.433,2.39,2.08,,,,1.36,1.718,1.046,1.927,0.585,2.216,0.558,1.78,0.461,1.348,2.313,0.696,0.708,1.02,0.205,1.193,0.879,2.513,,0.389,0.318,0.454,1.008,1.002,2.253,0.465,1.504,1.551,2.513,2.513,0.81,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Germany,DEU,,0.741,0.787,0.743,0.825,0.829,0.818,0.911,1.098,0.727,0.835,0.795,0.79,0.757,0.844,0.756,0.736,0.626,0.847,0.824,0.839,0.9,0.556,1.134,0.922,1.249,0.499,0.871,0.458,0.956,0.726,0.887,0.806,0.627,0.484,0.785,0.743,0.751,0.854,0.636,0.815,0.734,0.887,0.887,0.748,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Greece,GRC,,0.576,0.646,0.596,0.871,0.866,0.937,0.805,0.951,1.058,0.969,0.56,0.68,1.107,1.191,0.905,0.757,0.964,0.668,0.827,0.486,0.811,0.469,0.97,0.857,0.795,0.75,0.705,0.249,0.719,0.613,0.887,0.709,0.44,0.344,0.524,0.517,0.519,0.958,0.286,0.69,0.767,0.887,0.887,0.573,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Hungary,HUN,,134.363,147.377,132.801,215.106,214.297,192.076,202.111,256.742,225.496,281.353,200.445,195.992,242.395,256.187,214.382,165.697,171.196,162.257,232.762,100.705,210.471,80.183,265.557,253.855,221.433,137.832,165.55,65.738,162.593,130.938,274.374,163.925,85.011,69.914,97.003,140.068,140.293,250.291,79.679,189.951,195.396,274.374,274.374,130.973,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Iceland,ISL,,137.122,155.648,152.553,152.428,154.569,159.977,183.986,126.743,162.573,113.707,122.487,134.123,145.931,184.969,129.894,212.148,243.199,199.608,165.567,138.239,152.04,135.839,187.739,144.965,203.688,90.07,173.33,104.988,194.141,152.466,106.967,159.136,128.285,113.258,129.055,115.799,116.782,133.958,102.536,103.596,134.157,106.967,106.967,140.631,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Ireland,IRL,,0.791,0.971,0.932,1.01,1,1,0.947,0.974,0.98,0.888,1.026,0.939,1.12,1.241,1.057,1.376,1.299,1.642,0.922,1.156,0.912,0.876,1.142,1.016,1.192,0.666,0.921,0.45,1.05,0.953,0.887,0.944,0.74,0.653,0.74,0.639,0.641,0.905,0.455,0.769,0.85,0.887,0.887,0.819,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Italy,ITA,,0.687,0.767,0.732,0.905,0.924,0.954,1.03,0.916,0.911,0.784,0.874,0.78,0.928,0.917,0.7,0.742,0.702,0.744,0.841,0.707,0.928,0.671,1.086,0.94,0.804,0.545,0.842,0.385,0.91,0.735,0.887,0.803,0.622,0.512,0.704,0.543,0.544,0.848,0.354,0.68,0.773,0.887,0.887,0.687,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Kazakhstan,KAZ,,121.253,125.263,106.447,187.414,185.792,159.5,173.276,167.406,227.526,266.677,230.951,164.156,265.182,212.98,204.299,95.011,137.942,54.461,228.206,121.436,218.541,55.481,165.432,169,78.668,67.727,164.633,19.526,171.169,103.469,326.136,121.413,46.939,34.623,60.018,260.598,195.136,332.491,120.281,259.02,240.094,326.136,326.136,118.115,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Kyrgyzstan,KGZ,,16.959,19.373,16.14,37.589,37.363,35.296,34.983,38.029,47.286,46.729,42.674,31.864,48.758,40.789,39.859,17.557,26.887,9.009,44.48,4.872,45.197,11.158,34.277,36.659,12.959,10.108,30.88,2.106,36.84,18.714,68.961,23.129,6.95,4.954,9.236,52.351,34.765,68.582,20.25,54.137,48.78,68.961,68.961,18.313,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Latvia,LVA,,0.484,0.554,0.493,0.764,0.75,0.694,0.648,0.762,0.819,0.996,0.718,0.69,0.973,0.851,0.883,0.645,0.749,0.545,0.873,0.436,0.745,0.253,0.819,0.778,0.65,0.348,0.666,0.221,0.711,0.506,0.887,0.599,0.291,0.237,0.337,0.503,0.504,0.882,0.299,0.655,0.689,0.887,0.887,0.479,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Lithuania,LTU,,0.442,0.488,0.432,0.662,0.647,0.656,0.612,0.653,0.697,0.878,0.62,0.492,0.802,0.691,0.816,0.583,0.66,0.507,0.877,0.316,0.723,0.242,0.819,0.771,0.65,0.301,0.581,0.171,0.601,0.456,0.887,0.546,0.256,0.203,0.307,0.504,0.507,0.82,0.308,0.713,0.635,0.887,0.887,0.435,,,
Purchasing power parity (PPP) (US$ = 1),PPPGlob,2017,YR2017,Luxembourg,LUX,,0.844,0.966,0.999,1.013,1.029,1.029,1.209,0.993,1.028,0.978,1.068,0.782,0.91,1.036,0.865,0.712,0.667,0.718,0.901,1.197,1.027,0.81,1.001,0.925,0.724,0.574,0.934,1.307,0.978,0.997,0.887,0.912,1.01,0.902,1.011,0.673,0.676,0.919,0.498,0.757,0.783,0.887,0.887,0.911,,,
